Date,SPX,META,AMZN,AAPL,NFLX,GOOG
2019-04-16,2907.060059,178.869995,93.152000,49.812500,359.459991,61.356499
2019-04-17,2900.449951,178.779999,93.240997,50.782501,354.739990,61.817001
2019-04-18,2905.030029,178.279999,93.084503,50.965000,360.350006,61.818501
2019-04-22,2907.969971,181.440002,94.365501,51.132500,377.339996,62.442001
2019-04-23,2933.679932,183.779999,96.188499,51.869999,381.890015,63.227501
2019-04-24,2927.250000,182.580002,95.087502,51.790001,374.230011,62.799999
2019-04-25,2926.169922,193.259995,95.112503,51.320000,368.329987,63.172501
2019-04-26,2939.879883,191.490005,97.531502,51.075001,374.850006,63.609001
2019-04-29,2943.030029,194.779999,96.921501,51.152500,371.829987,64.378998
2019-04-30,2945.830078,193.399994,96.325996,50.167500,370.540009,59.424000
2019-05-01,2923.729980,193.029999,95.575996,52.630001,378.809998,58.403999
2019-05-02,2917.520020,192.529999,95.041000,52.287498,379.059998,58.130501
2019-05-03,2945.639893,195.470001,98.123001,52.937500,385.029999,59.270000
2019-05-06,2932.469971,193.880005,97.527496,52.119999,378.670013,59.469501
2019-05-07,2884.050049,189.770004,96.050003,50.715000,370.459991,58.705002
2019-05-08,2879.419922,189.539993,95.888496,50.724998,364.369995,58.313499
2019-05-09,2870.719971,188.649994,94.993500,50.180000,362.750000,58.118999
2019-05-10,2881.399902,188.339996,94.499001,49.294998,361.040009,58.213501
2019-05-13,2811.870117,181.539993,91.134003,46.430000,345.260010,56.601501
2019-05-14,2834.409912,180.729996,92.005997,47.165001,345.609985,56.021999
2019-05-15,2850.959961,186.270004,93.557503,47.730000,354.989990,58.210499
2019-05-16,2876.320068,186.990005,95.378502,47.520000,359.309998,58.949001
2019-05-17,2859.530029,185.300003,93.449997,47.250000,354.450012,58.115002
2019-05-20,2840.229980,182.720001,92.948502,45.772499,348.109985,56.942501
2019-05-21,2864.360107,184.820007,92.875999,46.650002,354.269989,57.481499
2019-05-22,2856.270020,185.320007,92.984001,45.695000,359.730011,57.570999
2019-05-23,2822.239990,180.869995,90.774002,44.915001,352.209991,57.038502
2019-05-24,2826.060059,181.059998,91.164001,44.742500,354.390015,56.673500
2019-05-28,2802.389893,184.309998,91.821503,44.557499,355.059998,56.707500
2019-05-29,2783.020020,182.190002,90.959503,44.345001,349.190002,55.823002
2019-05-30,2788.860107,183.009995,90.816002,44.575001,351.850006,55.897499
2019-05-31,2752.060059,177.470001,88.753502,43.767502,343.279999,55.181499
2019-06-03,2744.449951,164.149994,84.634499,43.325001,336.630005,51.811501
2019-06-04,2803.270020,167.500000,86.477997,44.910000,353.399994,52.652500
2019-06-05,2826.149902,168.169998,86.925003,45.634998,355.730011,52.111000
2019-06-06,2843.489990,168.330002,87.718002,46.305000,357.130005,52.216999
2019-06-07,2873.340088,173.350006,90.201500,47.537498,360.869995,53.301998
2019-06-10,2886.729980,174.820007,93.031502,48.145000,352.010010,54.019001
2019-06-11,2885.719971,178.100006,93.184998,48.702499,351.269989,53.936001
2019-06-12,2879.840088,175.039993,92.765999,48.547501,345.559998,53.851501
2019-06-13,2891.639893,177.470001,93.514999,48.537498,343.429993,54.438499
2019-06-14,2886.979980,181.330002,93.483498,48.185001,339.730011,54.267502
2019-06-17,2889.669922,189.009995,94.301498,48.472500,350.619995,54.625000
2019-06-18,2917.750000,188.470001,95.068497,49.612499,357.119995,55.180000
2019-06-19,2926.459961,187.479996,95.439499,49.467499,363.519989,55.116501
2019-06-20,2954.179932,189.529999,95.909500,49.865002,365.209991,55.570999
2019-06-21,2950.459961,191.139999,95.565002,49.695000,369.209991,56.094002
2019-06-24,2945.350098,192.600006,95.695000,49.645000,371.040009,55.776001
2019-06-25,2917.379883,188.839996,93.913498,48.892502,360.299988,54.317501
2019-06-26,2913.780029,187.660004,94.891502,49.950001,362.200012,53.990002
2019-06-27,2924.919922,189.500000,95.213997,49.935001,370.019989,53.800499
2019-06-28,2941.760010,193.000000,94.681503,49.480000,367.320007,54.045502
2019-07-01,2964.330078,193.000000,96.109497,50.387501,374.600006,54.897499
2019-07-02,2973.010010,195.000000,96.715500,50.682499,375.429993,55.562500
2019-07-03,2995.820068,197.199997,96.949997,51.102501,381.720001,56.078999
2019-07-05,2990.409912,196.399994,97.145500,51.057499,380.549988,56.579498
2019-07-08,2975.949951,195.759995,97.615997,50.005001,376.160004,55.817501
2019-07-09,2979.629883,199.210007,99.415001,50.310001,379.929993,56.241501
2019-07-10,2993.070068,202.729996,100.870499,50.807499,381.000000,57.023998
2019-07-11,2999.909912,201.229996,100.053497,50.437500,379.500000,57.210499
2019-07-12,3013.770020,204.869995,100.550003,50.825001,373.250000,57.244999
2019-07-15,3014.300049,203.910004,101.049500,51.302502,366.600006,57.516998
2019-07-16,3004.040039,203.839996,100.495003,51.125000,365.989990,57.679001
2019-07-17,2984.419922,201.800003,99.601501,50.837502,362.440002,57.317501
2019-07-18,2995.110107,200.779999,98.894997,51.415001,325.209991,57.316502
2019-07-19,2976.610107,198.360001,98.225998,50.647499,315.100006,56.505001
2019-07-22,2985.030029,202.320007,99.281502,51.805000,310.619995,56.903500
2019-07-23,3005.469971,202.360001,99.724503,52.209999,307.299988,57.310501
2019-07-24,3019.560059,204.660004,100.040497,52.167500,317.940002,56.890499
2019-07-25,3003.669922,200.710007,98.691002,51.755001,326.459991,56.605999
2019-07-26,3025.860107,199.750000,97.152496,51.935001,335.779999,62.520500
2019-07-29,3020.969971,195.940002,95.622498,52.419998,332.700012,61.970501
2019-07-30,3013.179932,197.039993,94.926498,52.195000,325.929993,61.257000
2019-07-31,2980.379883,194.229996,93.338997,53.259998,322.989990,60.834000
2019-08-01,2953.560059,192.729996,92.765999,52.107498,319.500000,60.450500
2019-08-02,2932.050049,189.020004,91.162003,51.005001,318.829987,59.699501
2019-08-05,2844.739990,181.729996,88.256500,48.334999,307.630005,57.616001
2019-08-06,2881.770020,184.509995,89.391502,49.250000,310.100006,58.497501
2019-08-07,2883.979980,185.149994,89.669998,49.759998,304.290009,58.699501
2019-08-08,2938.090088,190.160004,91.644501,50.857498,315.899994,60.240002
2019-08-09,2918.649902,187.850006,90.378998,50.247501,308.929993,59.400501
2019-08-12,2882.699951,185.369995,89.246002,50.119999,310.829987,58.735500
2019-08-13,2926.320068,188.449997,91.217003,52.242500,312.279999,59.863499
2019-08-14,2840.600098,179.710007,88.148003,50.687500,299.109985,58.214500
2019-08-15,2847.600098,182.589996,88.806000,50.435001,295.760010,58.362999
2019-08-16,2888.679932,183.699997,89.628502,51.625000,302.799988,58.880001
2019-08-19,2923.649902,186.169998,90.806000,52.587502,309.380005,59.922501
2019-08-20,2900.510010,183.809998,90.069000,52.590000,298.989990,59.134499
2019-08-21,2924.429932,183.550003,91.177002,53.160000,297.809998,59.562500
2019-08-22,2922.949951,182.039993,90.233002,53.115002,296.929993,59.476501
2019-08-23,2847.110107,177.750000,87.481003,50.660000,291.440002,57.564499
2019-08-26,2878.379883,180.360001,88.443497,51.622501,294.980011,58.444500
2019-08-27,2869.159912,181.300003,88.091499,51.040001,291.029999,58.391998
2019-08-28,2887.939941,181.759995,88.212502,51.382500,291.769989,58.550999
2019-08-29,2924.580078,185.570007,89.320000,52.252499,296.779999,59.642502
2019-08-30,2926.459961,185.669998,88.814499,52.185001,293.750000,59.404999
2019-09-03,2906.270020,182.389999,89.491997,51.424999,289.290009,58.419498
2019-09-04,2937.780029,187.139999,90.030998,52.297501,291.519989,59.070499
2019-09-05,2976.000000,190.899994,92.036003,53.320000,293.250000,60.569000
2019-09-06,2978.709961,187.490005,91.675499,53.314999,290.170013,60.246498
2019-09-09,2978.429932,188.759995,91.567497,53.542500,294.339996,60.220501
2019-09-10,2979.389893,186.169998,91.027496,54.174999,287.989990,60.299999
2019-09-11,3000.929932,188.490005,91.149498,55.897499,288.269989,61.008499
2019-09-12,3009.570068,187.470001,92.177498,55.772499,288.859985,61.712502
2019-09-13,3007.389893,187.190002,91.967003,54.687500,294.149994,61.978001
2019-09-16,2997.959961,186.220001,90.391998,54.974998,294.290009,61.564999
2019-09-17,3005.699951,188.080002,91.127502,55.174999,298.600006,61.457500
2019-09-18,3006.729980,188.139999,90.873001,55.692501,291.559998,61.620499
2019-09-19,3006.790039,190.139999,91.074997,55.240002,286.600006,61.935501
2019-09-20,2992.070068,189.929993,89.708000,54.432499,270.750000,61.496498
2019-09-23,2991.780029,186.820007,89.264999,54.680000,265.920013,61.701500
2019-09-24,2966.600098,181.279999,87.080498,54.419998,254.589996,60.938000
2019-09-25,2984.870117,182.800003,88.416496,55.257500,264.750000,62.326000
2019-09-26,2977.620117,180.110001,86.991997,54.972500,263.309998,62.069500
2019-09-27,2961.790039,177.100006,86.272499,54.705002,263.079987,61.254501
2019-09-30,2976.739990,178.080002,86.795502,55.992500,267.619995,60.950001
2019-10-01,2940.250000,175.809998,86.782501,56.147499,269.579987,60.255001
2019-10-02,2887.610107,174.600006,85.661499,54.740002,268.029999,58.831501
2019-10-03,2910.629883,179.380005,86.221001,55.205002,268.149994,59.391499
2019-10-04,2952.010010,180.449997,86.982498,56.752499,272.790009,60.450001
2019-10-07,2938.790039,179.679993,86.633003,56.764999,274.459991,60.383999
2019-10-08,2893.060059,177.750000,85.275497,56.099998,270.720001,59.456501
2019-10-09,2919.399902,179.850006,86.099503,56.757500,267.529999,60.115501
2019-10-10,2938.129883,180.029999,86.013000,57.522499,280.480011,60.433498
2019-10-11,2970.270020,184.190002,86.596001,59.052502,282.929993,60.772499
2019-10-14,2966.149902,183.279999,86.821503,58.967499,285.529999,60.856998
2019-10-15,2995.679932,188.889999,88.369003,58.830002,284.250000,62.150501
2019-10-16,2989.689941,189.550003,88.871498,58.592499,286.279999,62.181999
2019-10-17,2997.949951,190.389999,89.374001,58.820000,293.350006,62.653500
2019-10-18,2986.199951,185.850006,87.875504,59.102501,275.299988,62.274502
2019-10-21,3006.719971,189.759995,89.282997,60.127499,278.049988,62.307499
2019-10-22,2995.989990,182.339996,88.286499,59.990002,266.690002,62.139999
2019-10-23,3004.520020,186.149994,88.108498,60.794998,271.269989,62.956501
2019-10-24,3010.290039,186.380005,89.039001,60.895000,271.500000,63.049500
2019-10-25,3022.550049,187.889999,88.066498,61.645000,276.820007,63.256500
2019-10-28,3039.419922,189.399994,88.853996,62.262501,281.859985,64.500000
2019-10-29,3036.889893,189.309998,88.135498,60.822498,281.209991,63.131001
2019-10-30,3046.770020,188.250000,88.999496,60.814999,291.450012,63.064499
2019-10-31,3037.560059,191.649994,88.833000,62.189999,287.410004,63.005501
